2.052	1.331	0.955	2.049	1.338	0.949	2.32	1.606	1.256	3.209	1.584	0.984	3.676	1.946	1.21	3.069	1.622	1.074
2.195	1.413	1.066	2.14	1.407	1.022	2.292	1.645	1.284	4.102	2.234	1.471	4.799	2.704	1.824	3.87	2.307	1.621
2.143	1.476	1.113	2.208	1.447	1.089	2.224	1.666	1.305	4.574	2.709	1.905	5.609	3.271	2.275	4.531	2.925	2.065
2.137	1.463	1.132	2.194	1.461	1.1	2.281	1.616	1.284	5.066	3.007	2.169	6.192	3.681	2.642	5.256	3.284	2.375
2.172	1.46	1.092	2.157	1.48	1.106	2.229	1.608	1.248	5.517	3.283	2.346	6.775	4.082	2.834	5.431	3.52	2.641
2.212	1.491	1.109	2.199	1.516	1.119	2.258	1.63	1.275	5.957	3.586	2.632	7.193	4.473	3.169	6.191	3.98	3.015
2.184	1.492	1.142	2.21	1.539	1.141	2.322	1.638	1.284	6.17	3.892	2.912	7.609	4.904	3.461	6.812	4.29	3.23
2.156	1.519	1.159	2.213	1.549	1.175	2.296	1.645	1.29	6.529	4.226	3.073	7.964	5.306	3.789	7.294	4.696	3.515
2.224	1.53	1.166	2.191	1.582	1.216	2.299	1.653	1.295	6.959	4.555	3.271	8.277	5.585	4.124	7.33	5.013	3.767
2.146	1.496	1.175	2.173	1.551	1.181	2.266	1.625	1.283	7.224	4.576	3.413	8.624	5.719	4.186	7.617	5.213	3.915
